NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,605.7,611.7,611.8,732.6,Inglês,1.0,120.0,120.0,140.0,140.0,140.0,660.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,62.4,667.1,614.1,892.7,Inglês,1.0,140.0,140.0,80.0,140.0,100.0,600.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,575.6,568.5,595.4,757.6,Inglês,1.0,140.0,120.0,140.0,160.0,180.0,740.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,413.2,481.6,548.6,49.2,Inglês,1.0,140.0,120.0,100.0,100.0,100.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,521.8,589.4,589.6,762.4,Inglês,1.0,120.0,140.0,120.0,140.0,120.0,640.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,534.3,590.4,590.4,598.1,Inglês,1.0,160.0,180.0,200.0,200.0,200.0,940.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,597.5,530.6,587.3,365.9,Inglês,1.0,160.0,140.0,140.0,180.0,140.0,760.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,584.9,58.5,601.6,702.9,Inglês,1.0,160.0,120.0,160.0,180.0,140.0,760.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,457.2,397.1,497.1,495.5,Inglês,1.0,120.0,120.0,100.0,140.0,120.0,600.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,606.3,670.5,656.6,705.9,Inglês,1.0,160.0,200.0,140.0,160.0,140.0,800.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,557.6,589.1,541.9,541.4,Inglês,1.0,120.0,120.0,120.0,120.0,100.0,580.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,505.4,58.1,592.7,68.8,Inglês,1.0,120.0,100.0,120.0,120.0,180.0,640.0,Sim
"1,90E+11",Campinas,17,M,1,parda,1,3,não_respondeu,,,1,1,1,1,477.8,594.5,555.6,599.9,Inglês,1.0,140.0,160.0,120.0,140.0,0.0,560.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,523.1,608.5,568.9,722.9,Inglês,1.0,160.0,100.0,140.0,160.0,120.0,680.0,Sim
"1,90E+11",Campinas,15,M,1,branca,1,3,não_respondeu,,,1,1,1,1,564.3,580.3,486.9,496.8,Inglês,1.0,120.0,120.0,120.0,100.0,140.0,600.0,Sim
"1,90E+11",Campinas,16,M,1,amarela,1,3,não_respondeu,,,1,1,1,1,523.8,545.2,557.7,608.3,Inglês,1.0,120.0,60.0,60.0,120.0,0.0,360.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,515.1,450.1,595.3,59.4,Inglês,1.0,160.0,200.0,160.0,180.0,160.0,860.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,562.8,63.2,611.7,699.3,Inglês,1.0,140.0,120.0,140.0,160.0,200.0,760.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,437.3,502.4,49.1,420.2,Inglês,1.0,80.0,40.0,40.0,80.0,0.0,240.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,542.1,505.9,58.1,708.8,Inglês,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,699.1,702.8,571.4,904.2,Inglês,1.0,140.0,140.0,120.0,160.0,140.0,700.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,56.9,611.7,560.4,667.5,Inglês,1.0,140.0,120.0,120.0,120.0,160.0,660.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,392.5,383.5,492.6,447.5,Inglês,1.0,100.0,120.0,100.0,80.0,100.0,500.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,560.5,564.1,556.4,648.9,Inglês,1.0,160.0,120.0,120.0,160.0,120.0,680.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,515.9,505.7,477.8,556.7,Inglês,1.0,120.0,120.0,160.0,120.0,200.0,720.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,48.9,548.1,520.8,626.8,Inglês,1.0,120.0,120.0,120.0,80.0,100.0,540.0,Sim
"1,90E+11",Campinas,15,F,1,preta,1,3,não_respondeu,,,1,1,1,1,476.9,551.1,555.2,67.0,Inglês,1.0,120.0,160.0,120.0,140.0,80.0,620.0,Sim
